the_geom,cartodb_id,the_geom_webmercator,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,job_type2,cost_estimate,enlargement_flag_yes_no,square_footage,permit_issuance_date,permit_expiration_date,job_location_house_number,job_location_street_name,community_board,applicant_business_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
0101000020E610000000000000127252C000000020605F4440,4563,0101000020110F0000E172AD5EE9545FC10940B9DC38FA5241,40.7451210021973,-73.7823486328125,Queens,NB,New Building,421740423,4128322,NB,532800,false,3600,7/7/2020,6/10/2021 12:00,56-19,195 STREET,411,ZR WHITESTONE INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000000127252C000000020605F4440,4564,0101000020110F0000E172AD5EE9545FC10940B9DC38FA5241,40.7451210021973,-73.7823486328125,Queens,A1,ALT 1 Enlargement,421656522,4128322,A1,549000,true,1643,7/26/2019,12/31/2020 12:00,56-19,195 STREET,411,ZR WHITESTONE INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E6100000000000C0897F52C000000060605F4440,4565,0101000020110F0000CDD45BB8C96B5FC17BE1772439FA5241,40.7451286315918,-73.9927825927734,Manhattan,NB,New Building,123118884,1015022,NB,3928364,false,26543,8/5/2020,8/5/2021 12:00,128,WEST 26TH STREET,104,VINBAYTEL DEVELOPMENTS,RESIDENTIAL: APARTMENT HOUSES,14,13
0101000020E610000000000040C67052C000000060605F4440,4566,0101000020110F0000CA60ECDBB5525FC17BE1772439FA5241,40.7451286315918,-73.7621002197266,Queens,NB,New Building,421721033,4162335,NB,582380,false,3935,9/25/2020,10/13/2021 12:00,64-11,214 STREET,411,GREYLINE CONSTRUCTION COR,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
0101000020E610000000000040558052C0000000C0605F4440,4567,0101000020110F00002B35A862236D5FC1AFD4159039FA5241,40.7451400756836,-74.0052032470703,Manhattan,A1,ALT 1 Enlargement,122085448,1012572,A1,10600000,true,45712,9/3/2020,6/1/2021 12:00,455,WEST 19TH STREET,104,SCIAME CONSTRUCTION LLC,RESIDENTIAL: APARTMENT HOUSES,12,10
0101000020E6100000000000406F8052C000000020615F4440,4568,0101000020110F0000E3F78A8C4F6D5FC118C9B3FB39FA5241,40.7451515197754,-74.0067901611328,Manhattan,NB,New Building,121191147,1091605,NB,63277992,false,427554,8/11/2020,8/28/2021 12:00,501,WEST 18TH STREET,104,RELATED CONSTRUCTION LLC,RESIDENTIAL: APARTMENT HOUSES,21,181
0101000020E610000000000040CE7E52C000000020615F4440,4569,0101000020110F0000BA4E873B8B6A5FC118C9B3FB39FA5241,40.7451515197754,-73.9813385009766,Manhattan,NB,New Building,121327484,1802251,NB,5408808,false,36546,12/15/2020,1/1/2022 12:00,122,EAST 32 STREET,105,K S K CONSTRUCTION GROUP,BUSINESS,7,0
0101000020E6100000000000603C7752C000000000625F4440,4570,0101000020110F000025168D8EAF5D5FC11608CFF63AFA5241,40.7451782226562,-73.8630599975586,Queens,NB,New Building,421514105,4617455,NB,461760,false,3120,6/29/2020,2/7/2021 12:00,101-36,NICOLLS AVE,404,PAN LINK CONSTRUCTION INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,4,3
0101000020E6100000000000003D7752C0000000C0625F4440,4571,0101000020110F0000ACC4539EB05D5FC133FA0ACE3BFA5241,40.7452011108398,-73.8630981445312,Queens,NB,New Building,421514098,4437185,NB,461760,false,3120,11/11/2020,11/8/2021 12:00,101-34,NICOLLS AVE,404,ST SAFETY CONS. INC,RESIDENTIAL: 1 & 2 FAMILY HOUSES,4,3
0101000020E610000000000000197D52C000000000655F4440,4572,0101000020110F00004BF5F784A4675FC1AAEDBE533EFA5241,40.7452697753906,-73.9546508789062,Queens,NB,New Building,421171984,4618398,NB,3344800,false,22600,7/26/2019,1/31/2021 12:00,5-25,47 ROAD,402,CREDENT DEVELOPMENT INC,RESIDENTIAL: APARTMENT HOUSES,4,12
